Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Cam Atkinson,34,1,63,13,15,28,25,-22,994,769,138,86,11,2,0,3,0,11,4,0,2,0,22,6,0,5,0,21.4,0.747,0.862,1.609,0.817,0.817,1.634,0.828,1.656,2.483,0.206,0.238,0.444,172,7.6,28,37,12,12,50.00
Ilya Mikheyev,29,1,64,11,17,28,4,2,865,756,63,44,11,0,0,1,0,17,0,0,2,0,28,0,0,3,0,0.0,0.715,1.105,1.821,0.817,1.263,2.081,0.000,0.000,0.000,0.172,0.266,0.438,125,8.8,37,13,8,17,32.00
Rickard Rakell,30,1,54,10,18,28,18,-3,1015,858,156,0,6,4,0,1,0,16,2,0,2,1,22,6,0,3,1,21.4,0.657,1.182,1.839,0.466,1.243,1.709,1.707,0.853,2.560,0.185,0.333,0.519,135,7.4,90,30,3,9,25.00
Anton Lundell,22,1,64,9,19,28,36,17,918,779,66,72,9,0,0,1,1,14,4,1,4,1,23,4,1,5,2,14.3,0.551,1.164,1.715,0.649,1.010,1.659,0.000,3.399,3.399,0.141,0.297,0.438,130,6.9,37,31,389,337,53.58
Oliver Ekman-Larsson,32,0,68,9,19,28,64,5,1115,906,129,79,8,1,0,3,1,9,10,0,4,0,17,11,0,7,1,39.3,0.427,0.902,1.329,0.467,0.526,0.993,0.410,4.102,4.512,0.132,0.279,0.412,106,8.5,87,63,0,0,0.00
Erik Gustafsson,31,0,66,6,22,28,31,3,1020,927,82,10,6,0,0,1,0,13,9,0,3,1,19,9,0,4,1,32.1,0.321,1.175,1.496,0.353,0.764,1.117,0.000,5.950,5.950,0.091,0.333,0.424,81,7.4,53,60,0,0,0.00
Mattias Ekholm,33,0,63,5,23,28,37,30,1258,1083,49,124,2,2,1,1,0,22,1,0,3,1,24,3,1,4,1,10.7,0.227,1.045,1.272,0.105,1.160,1.266,2.303,1.151,3.454,0.079,0.365,0.444,130,3.9,113,76,0,0,0.00
Alexei Protas,22,1,64,5,23,28,6,-3,803,732,17,52,5,0,0,1,0,22,0,1,4,0,27,0,1,5,0,0.0,0.350,1.610,1.961,0.384,1.689,2.073,0.000,0.000,0.000,0.078,0.359,0.438,88,5.7,24,39,40,61,39.60
Michael Carcone,27,1,60,19,8,27,20,-3,676,650,20,4,17,1,1,3,0,7,1,0,1,0,24,2,1,4,0,7.4,1.685,0.710,2.395,1.567,0.645,2.213,2.880,2.880,5.760,0.317,0.133,0.450,90,21.1,45,19,2,8,20.00
Connor McMichael,22,1,64,14,13,27,32,-15,945,794,73,77,11,2,1,3,0,9,3,1,2,0,20,5,2,5,0,18.5,0.833,0.773,1.606,0.778,0.637,1.415,1.536,2.303,3.839,0.219,0.203,0.422,113,12.4,33,32,273,382,41.68
Danton Heinen,28,1,61,13,14,27,26,6,854,771,6,75,11,1,1,4,0,14,0,0,0,0,25,1,1,4,0,3.7,0.898,0.967,1.866,0.842,1.071,1.913,8.675,0.000,8.675,0.213,0.230,0.443,101,12.9,69,40,12,16,42.86
Alex Killorn,34,1,48,12,15,27,42,-15,1118,902,142,73,8,4,0,2,1,13,2,0,1,0,21,6,0,3,1,22.2,0.805,1.006,1.810,0.665,1.081,1.746,2.105,1.052,3.157,0.250,0.313,0.563,103,11.7,55,18,11,21,34.38
Adam Fantilli,19,1,49,12,15,27,16,-21,942,805,136,1,11,1,0,1,0,13,2,0,1,0,24,3,0,2,0,11.1,0.935,1.169,2.104,1.004,1.186,2.190,0.539,1.078,1.617,0.245,0.306,0.551,115,10.4,63,25,171,221,43.62
Matthew Knies,21,1,64,12,15,27,35,9,843,793,33,16,12,0,0,1,0,13,2,0,2,0,25,2,0,3,0,7.4,0.801,1.001,1.801,0.851,0.922,1.773,0.000,3.346,3.346,0.188,0.234,0.422,90,13.3,135,26,0,1,0.00
Matthew Beniers,21,1,61,9,18,27,18,-7,1068,922,133,12,7,2,0,1,0,13,5,0,4,0,20,7,0,5,0,25.9,0.497,0.994,1.491,0.448,0.832,1.279,0.885,2.213,3.099,0.148,0.295,0.443,107,8.4,41,33,414,463,47.21
Marcus Johansson,33,1,64,9,18,27,16,-12,953,806,124,22,8,1,0,0,0,14,4,0,4,1,22,5,0,4,1,18.5,0.531,1.061,1.592,0.558,0.976,1.534,0.452,1.807,2.258,0.141,0.281,0.422,94,9.6,35,25,6,26,18.75
Cam York,22,0,68,9,18,27,38,-11,1319,1048,120,150,9,0,0,1,0,10,6,2,4,0,19,6,2,5,0,22.2,0.361,0.722,1.083,0.454,0.505,0.959,0.000,2.645,2.645,0.132,0.265,0.397,100,9.0,63,140,0,0,0.00
