Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Nick Robertson,22,1,11,3,3,6,0,0,627,613,10,3,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0.0,1.564,1.564,3.129,1.601,1.601,3.202,0.000,0.000,0.000,0.273,0.273,0.545,17,17.7,8,4,0,0,0.00
Radim Zohorna,27,1,20,3,3,6,10,1,664,607,56,0,3,0,0,1,0,3,0,0,2,0,6,0,0,3,0,0.0,0.813,0.813,1.626,0.889,0.889,1.777,0.000,0.000,0.000,0.150,0.150,0.300,30,10.0,24,2,2,5,28.57
Brett Leason,24,1,20,3,3,6,6,0,719,547,5,166,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0.0,0.750,0.750,1.500,0.986,0.986,1.972,0.000,0.000,0.000,0.150,0.150,0.300,25,12.0,23,11,7,6,53.85
Trevor Lewis,36,1,21,3,3,6,4,4,699,565,5,128,3,0,0,0,0,2,1,0,0,0,5,1,0,0,0,16.7,0.735,0.735,1.471,0.909,0.606,1.515,0.000,31.304,31.304,0.143,0.143,0.286,33,9.1,11,11,32,55,36.78
Max Jones,25,1,21,3,3,6,15,-4,711,653,57,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0.0,0.723,0.723,1.446,0.787,0.787,1.575,0.000,0.000,0.000,0.143,0.143,0.286,33,9.1,44,4,3,7,30.00
Jonathan Drouin,28,1,22,3,3,6,12,0,817,670,147,0,2,1,0,0,0,2,1,0,0,0,4,2,0,0,0,33.3,0.600,0.600,1.201,0.488,0.488,0.976,1.112,1.112,2.225,0.136,0.136,0.273,27,11.1,12,9,6,5,54.55
Dakota Joshua,27,1,24,3,3,6,24,4,761,671,5,84,3,0,0,2,0,3,0,0,1,0,6,0,0,3,0,0.0,0.591,0.591,1.182,0.670,0.670,1.340,0.000,0.000,0.000,0.125,0.125,0.250,25,12.0,65,11,7,7,50.00
Jack Drury,23,1,24,3,3,6,12,3,607,554,25,27,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0.0,0.741,0.741,1.482,0.812,0.812,1.624,0.000,0.000,0.000,0.125,0.125,0.250,29,10.3,10,7,90,75,54.55
Kailer Yamamoto,25,1,26,3,3,6,6,-8,748,573,165,9,1,2,0,0,0,1,2,0,0,0,2,4,0,0,0,66.7,0.555,0.555,1.110,0.241,0.241,0.483,1.673,1.673,3.346,0.115,0.115,0.231,22,13.6,9,7,6,7,46.15
Jakub Vrana,27,1,17,2,4,6,6,-1,751,646,104,0,2,0,0,0,0,4,0,0,1,0,6,0,0,1,0,0.0,0.564,1.127,1.691,0.655,1.310,1.965,0.000,0.000,0.000,0.118,0.235,0.353,41,4.9,5,2,0,13,0.00
